repo_id,owner_id,owner_name,type,search_location
9709563,7778517,summernote,Organization,seoul
11448592,7778517,summernote,Organization,seoul
15964309,7778517,summernote,Organization,seoul
62090161,7778517,summernote,Organization,seoul
11975422,7778517,summernote,Organization,seoul
67382094,8071073,Jguer,User,seoul
47495285,8408608,jazzsaxmafia,User,seoul
58809816,8408608,jazzsaxmafia,User,seoul
48437670,8408608,jazzsaxmafia,User,seoul
31390830,11039841,peyo-hd,User,seoul
52967303,14218787,trilliwon,User,seoul
70775038,15857111,junhocho,User,seoul
56836509,15902901,huiseoul,Organization,seoul
77405129,16603661,dhparkhub,User,seoul
75617975,17821598,tegg89,User,seoul
78835091,25074429,rlcode,Organization,seoul
58977931,8259057,dsindex,User,pangyo
37702621,4298791,ironhee,User,대한민국
76672254,25295130,dduk-ddak,Organization,대한민국
